meta.version,meta.error_msg,meta.initiator.sw_version,meta.initiator.unique_id,meta.initiator.zdc_mciq,meta.initiator.zdc_tof,meta.initiator.platform,meta.initiator.board_nr,meta.reflector.sw_version,meta.reflector.unique_id,meta.reflector.zdc_mciq,meta.reflector.zdc_tof,meta.reflector.platform,meta.reflector.board_nr,meta.testcase.f_offset,meta.testcase.meas_nr,meta.has_mciq,meta.has_tof,meta.profiling.t_total,meta.profiling.t_reference,meta.profiling.t_measurement,meta.profiling.t_parse,meta.profiling.t_pre_process,meta.profiling.t_calc_tof,meta.profiling.t_calc_mciq,meta.profiling.t_post_process,mciq.cfg.n_pairs,mciq.cfg.n_tones,mciq.cfg.t_intra,mciq.cfg.t_inter,mciq.cfg.t_intra_antenna,mciq.cfg.f_start,mciq.cfg.f_stop,mciq.cfg.f_delta,mciq.result.CDE_distance,mciq.result.CDE_dqi,mciq.result.distance,mciq.result.aoa,mciq.result.likeliness,mciq.initiator.flags,mciq.initiator.agc_idx,mciq.initiator.cfo,mciq.initiator.rssi,mciq.initiator.xtal_trim,mciq.reflector.flags,mciq.reflector.agc_idx,mciq.reflector.cfo,mciq.reflector.rssi,mciq.reflector.xtal_trim,tof.cfg.n_tones,tof.cfg.n_pairs,tof.cfg.radius_cot,tof.cfg.f_start,tof.cfg.f_stop,tof.cfg.f_delta,tof.result.in_cot,tof.result.distance,tof.result.successrate,tof.initiator.flags,tof.initiator.agc_idx,tof.initiator.cfo,tof.initiator.rssi,tof.initiator.temperature,tof.initiator.xtal_trim,tof.reflector.flags,tof.reflector.agc_idx,tof.reflector.cfo,tof.reflector.rssi,tof.reflector.temperature,tof.reflector.xtal_trim
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,0,True,True,0.449852,1626351256.066941,0.403138,0.012352,0.013528,1e-06,0.006422,0.014411,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,6.77,0.247,3.715820499420166,,0.11686646346106148,32768,19,63504,-50,58,32768,19,3840,-51,52,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,23.0,91,2,20,0,-55,27,58,6,20,0,-55,25,47
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,1,True,True,0.438595,1626351256.513807,0.405919,0.012449,0.007756,1e-06,0.006068,0.006402,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,11.16,0.603,0.08369136667251587,,0.12266423833060751,32768,18,1040,-50,58,32768,19,-1284,-50,52,240,1,25.0,2401000000.0,2480000000.0,1000000.0,False,25.2,92,6,21,0,-55,27,58,6,20,-4192,-55,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,2,True,True,0.439487,1626351256.954164,0.406994,0.012312,0.007583,1e-06,0.006169,0.006428,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,11.16,0.609,7.201564498901368,,0.20364632909093924,32768,19,-180,-50,58,32768,18,1644,-50,54,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,24.5,93,6,20,0,-55,27,58,6,20,-2240,-55,25,50
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,3,True,True,0.439046,1626351257.392824,0.405843,0.01231,0.007548,1e-06,0.006099,0.007245,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,11.2,0.579,3.0936927280426025,,0.0961470961997009,32768,18,-4084,-50,58,32768,18,3352,-50,54,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,22.4,92,2,20,0,-55,26,58,2,20,-2240,-55,25,50
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,4,True,True,0.440929,1626351257.835233,0.40827,0.01244,0.007635,1e-06,0.006106,0.006477,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,11.26,0.536,2.5813519439697266,,0.11044154132690694,32768,19,-4572,-50,58,32768,18,4572,-50,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,22.0,91,2,20,0,-54,27,58,2,20,-288,-54,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,5,True,True,0.43902,1626351258.274918,0.406803,0.012331,0.00759,1e-06,0.005945,0.00635,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,11.2,0.516,2.297734685897827,,0.11356486287895953,32768,18,-668,-50,58,32768,18,912,-51,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,23.6,92,2,20,0,-54,27,58,6,20,-288,-54,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,6,True,True,0.429128,1626351258.704331,0.396622,0.012271,0.007711,1e-06,0.006076,0.006447,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,11.2,0.541,2.0598623237609863,,0.12057984693957591,32768,19,64,-50,58,32768,19,1644,-50,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,23.1,92,2,20,0,-54,27,58,2,20,-2240,-54,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,7,True,True,0.439591,1626351259.144187,0.407319,0.012213,0.007561,1e-06,0.006084,0.006413,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,11.22,0.598,2.9107143363952637,,0.10603941341355126,32768,18,-2376,-50,58,32768,19,1888,-51,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,21.6,92,2,20,0,-54,27,58,6,20,1664,-54,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,8,True,True,0.431584,1626351259.576293,0.399353,0.012291,0.007535,1e-06,0.006048,0.006356,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,11.12,0.552,2.050713487625122,,0.13436319698332588,32768,19,-180,-50,58,32768,19,912,-51,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,19.6,92,6,20,0,-54,27,58,6,20,-2240,-54,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,9,True,True,0.435364,1626351260.011471,0.402636,0.012353,0.00751,1e-06,0.005867,0.006997,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,11.16,0.541,2.864968963623047,,0.3072607460552473,32768,18,-2620,-50,58,32768,18,2376,-50,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,20.9,94,2,20,0,-54,26,58,2,20,-288,-54,25,48
