meta.version,meta.error_msg,meta.initiator.sw_version,meta.initiator.unique_id,meta.initiator.zdc_mciq,meta.initiator.zdc_tof,meta.initiator.platform,meta.initiator.board_nr,meta.reflector.sw_version,meta.reflector.unique_id,meta.reflector.zdc_mciq,meta.reflector.zdc_tof,meta.reflector.platform,meta.reflector.board_nr,meta.testcase.f_offset,meta.testcase.meas_nr,meta.has_mciq,meta.has_tof,meta.profiling.t_total,meta.profiling.t_reference,meta.profiling.t_measurement,meta.profiling.t_parse,meta.profiling.t_pre_process,meta.profiling.t_calc_tof,meta.profiling.t_calc_mciq,meta.profiling.t_post_process,mciq.cfg.n_pairs,mciq.cfg.n_tones,mciq.cfg.t_intra,mciq.cfg.t_inter,mciq.cfg.t_intra_antenna,mciq.cfg.f_start,mciq.cfg.f_stop,mciq.cfg.f_delta,mciq.result.CDE_distance,mciq.result.CDE_dqi,mciq.result.distance,mciq.result.aoa,mciq.result.likeliness,mciq.initiator.flags,mciq.initiator.agc_idx,mciq.initiator.cfo,mciq.initiator.rssi,mciq.initiator.xtal_trim,mciq.reflector.flags,mciq.reflector.agc_idx,mciq.reflector.cfo,mciq.reflector.rssi,mciq.reflector.xtal_trim,tof.cfg.n_tones,tof.cfg.n_pairs,tof.cfg.radius_cot,tof.cfg.f_start,tof.cfg.f_stop,tof.cfg.f_delta,tof.result.in_cot,tof.result.distance,tof.result.successrate,tof.initiator.flags,tof.initiator.agc_idx,tof.initiator.cfo,tof.initiator.rssi,tof.initiator.temperature,tof.initiator.xtal_trim,tof.reflector.flags,tof.reflector.agc_idx,tof.reflector.cfo,tof.reflector.rssi,tof.reflector.temperature,tof.reflector.xtal_trim
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,0,True,True,0.415625,1626351487.930856,0.370638,0.012454,0.013608,1e-06,0.0059,0.013024,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.94,1.0,2.0049685916900635,,0.9712142808970728,32768,14,-3108,-37,58,32768,13,2620,-37,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.9,100,0,16,0,-42,27,58,0,16,-288,-42,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,1,True,True,0.434288,1626351488.371985,0.401469,0.012843,0.007921,1e-06,0.005586,0.006468,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.9,1.0,1.9775220832824707,,0.9691733635509244,32768,15,-180,-37,58,32768,14,668,-37,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.9,100,0,16,0,-41,27,58,0,16,-288,-41,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,2,True,True,0.434151,1626351488.806678,0.401764,0.012712,0.007591,1e-06,0.005627,0.006456,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.88,1.0,2.0141174278259277,,0.9705171631817712,32768,14,64,-37,58,32768,13,668,-37,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.4,100,0,16,0,-41,27,58,0,16,-288,-41,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,3,True,True,0.441382,1626351489.248907,0.40867,0.012946,0.007698,1e-06,0.005599,0.006468,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.84,1.0,1.9683730087280273,,0.9712047756746048,32768,14,-180,-37,58,32768,13,668,-38,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,3.1,99,2,16,0,-41,27,58,2,15,-288,-41,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,4,True,True,0.4487,1626351489.697031,0.410984,0.015108,0.008924,1e-06,0.006427,0.007256,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.88,1.0,1.9683727703094482,,0.9709930423286224,32768,14,-668,-37,58,32768,13,-64,-37,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,3.4,100,0,16,0,-41,26,58,0,15,-2240,-41,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,5,True,True,0.422101,1626351490.120396,0.390132,0.012328,0.00761,1e-06,0.005577,0.006453,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.9,1.0,1.9958197555541992,,0.9709836576542804,32768,13,-1400,-38,58,32768,14,3108,-37,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.7,100,0,16,0,-41,26,58,0,16,-2240,-41,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,6,True,True,0.436225,1626351490.556619,0.403507,0.012698,0.007777,1e-06,0.005702,0.00654,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.94,1.0,1.9958197555541992,,0.971850819893168,32768,14,-1888,-37,58,32768,13,2132,-37,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.9,99,2,16,0,-41,26,58,2,16,-2240,-41,26,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,7,True,True,0.429697,1626351490.987267,0.397438,0.012638,0.007588,1e-06,0.005604,0.006428,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.97,1.0,2.023266263961792,,0.9724652364576276,32768,14,-2620,-38,58,32768,14,1888,-37,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.6,99,2,16,0,-42,27,58,0,16,-288,-41,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,8,True,True,0.437043,1626351491.425147,0.4044,0.013092,0.007577,1e-06,0.005568,0.006405,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.99,1.0,2.023266263961792,,0.9741092368886994,32768,14,-668,-37,58,32768,13,668,-37,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.7,100,0,16,0,-41,27,58,0,16,-2240,-42,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,9,True,True,0.433355,1626351491.859054,0.401008,0.01268,0.007558,1e-06,0.005661,0.006447,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.98,1.0,2.023266502380371,,0.9734357103699919,32768,13,-1644,-37,58,32768,14,2620,-37,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.6,100,0,16,0,-42,27,58,0,16,-288,-42,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,10,True,True,0.438633,1626351492.298148,0.406258,0.012728,0.007597,1e-06,0.005625,0.006424,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.79,1.0,1.9866706809997559,,0.9739002073317511,32768,13,64,-36,58,32768,13,668,-36,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.8,99,2,16,0,-43,27,58,0,16,-288,-43,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,11,True,True,0.440385,1626351492.738686,0.407405,0.013146,0.007683,1e-06,0.005632,0.006518,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.83,1.0,2.0049685916900635,,0.9724212006122457,32768,13,-668,-36,58,32768,13,912,-37,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.5,95,2,16,0,-43,27,58,2,16,-288,-43,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,12,True,True,0.446982,1626351493.186091,0.41192,0.014539,0.008143,1e-06,0.005964,0.006415,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.89,1.0,2.023266502380371,,0.9730983235352363,32768,13,-668,-36,58,32768,13,668,-36,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.4,100,0,16,0,-44,27,58,2,16,0,-44,25,48
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,13,True,True,0.444908,1626351493.630503,0.411197,0.013082,0.007616,1e-06,0.005568,0.007444,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,1.89,1.0,2.0141174278259277,,0.9758634015921399,32768,13,-1888,-37,58,32768,13,1400,-36,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.9,99,2,16,0,-44,27,58,0,16,-2240,-44,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,14,True,True,0.433224,1626351494.065177,0.40072,0.012657,0.007691,1e-06,0.005595,0.00656,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.03,0.98,2.023266263961792,,0.9764403560457356,32768,13,-3108,-36,58,32768,13,3108,-35,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.4,100,0,16,0,-42,26,58,0,16,-2240,-42,25,49
2,,v1.1.0.21,0x00000060373AD3094E4557080003001C,0.2763671875,2.2099609375,kw38,1,v1.1.0.21,0x00000060373AC5DB4E455708000A003B,0.2763671875,2.2099609375,kw38,2,0,15,True,True,0.434301,1626351494.500158,0.402249,0.012541,0.007604,1e-06,0.005489,0.006417,2,80,0.0002,0.0004,2.9e-05,2401000000.0,2480000000.0,1000000.0,2.04,0.979,2.0415644130706787,,0.9778289383134641,32768,13,-2864,-36,58,32768,13,2864,-36,53,240,1,25.0,2401000000.0,2480000000.0,1000000.0,True,2.6,100,0,15,0,-40,27,58,0,15,-288,-40,25,48
