InfoCFO,InfoMeasurementCount,Initiatoro,Initiatorrr,InitiatorFLAGS,InitiatorGREF,InitiatorRXGAIN,InitiatorCFO,InitiatorRSSI,Reflectoro,Reflectorrr,ReflectorFLAGS,ReflectorGREF,ReflectorRXGAIN,ReflectorCFO,ReflectorRSSI,ResultDistance,ResultAoA,ResultDQF,ResultToF_Distance,ResultToF_SuccessRate,ResultInsideCircleOfTrust,ResultCFO,ResultLikeliness
0,0,0,-5,0,0,12,-5.0,-32,-1,-5,0,0,12,5.0,-32,2.74,,,,,,0.0,0.82
0,1,0,-6,0,0,12,-5.0,-32,-1,-6,0,0,12,5.0,-31,2.73,,,,,,-0.16,0.82
0,2,-1,-7,0,0,12,-5.0,-32,-1,-5,0,0,12,4.0,-32,2.71,,,,,,-0.47,0.82
0,3,0,-5,0,0,12,-4.0,-32,0,-8,0,0,12,4.0,-31,2.73,,,,,,-0.78,0.82
0,4,-1,-5,0,0,12,-5.0,-32,0,-4,0,0,12,5.0,-31,2.73,,,,,,-1.03,0.82
0,5,0,-7,0,0,12,-5.0,-32,-1,-5,0,0,12,5.0,-31,2.73,,,,,,-1.31,0.82
0,6,-1,-8,0,0,12,-5.0,-32,-1,-5,0,0,12,4.0,-32,2.72,,,,,,-1.62,0.83
0,7,0,-5,0,0,12,-5.0,-32,0,-5,0,0,12,4.0,-31,2.73,,,,,,-1.94,0.82
0,8,-1,-5,0,0,12,-4.0,-32,0,-4,0,0,12,4.0,-31,2.74,,,,,,-2.22,0.82
0,9,-1,-7,0,0,12,-5.0,-32,-1,-5,0,0,12,4.0,-32,2.74,,,,,,-2.47,0.82
0,10,-1,-5,0,0,12,-5.0,-32,-1,-5,0,0,12,4.0,-31,2.73,,,,,,-2.72,0.82
0,11,0,-6,0,0,12,-5.0,-32,-1,-6,0,0,12,5.0,-32,2.73,,,,,,-3.0,0.82
0,12,-1,-7,0,0,12,-4.0,-32,0,-5,0,0,12,4.0,-31,2.71,,,,,,-3.31,0.82
0,13,-2,-5,0,0,12,-5.0,-32,0,-7,0,0,12,4.0,-31,2.7,,,,,,-3.59,0.82
0,14,1,-5,0,0,12,-5.0,-32,-1,-6,0,0,12,4.0,-31,2.73,,,,,,-3.84,0.82
0,15,0,-7,0,0,12,-5.0,-32,-1,-5,0,0,12,5.0,-31,2.72,,,,,,-4.12,0.82
