InfoCFO,InfoMeasurementCount,Initiatoro,Initiatorrr,InitiatorFLAGS,InitiatorGREF,InitiatorRXGAIN,InitiatorCFO,InitiatorRSSI,Reflectoro,Reflectorrr,ReflectorFLAGS,ReflectorGREF,ReflectorRXGAIN,ReflectorCFO,ReflectorRSSI,ResultDistance,ResultAoA,ResultDQF,ResultToF_Distance,ResultToF_SuccessRate,ResultInsideCircleOfTrust,ResultCFO,ResultLikeliness
0,1,1,-4,0,0,17,-5.0,-46,-2,-3,0,0,17,4.0,-45,2.17,,,,,,0.0,0.17
0,2,-29,-4,0,0,17,-4.0,-46,27,-4,0,0,17,4.0,-45,2.4,,,,,,-0.12,0.18
0,3,-1,-4,0,0,17,-4.0,-46,0,-7,0,0,16,4.0,-46,6.87,,,,,,-0.38,0.24
0,4,0,-8,0,0,16,-5.0,-45,-1,-9,0,0,15,4.0,-46,3.84,,,,,,-0.62,0.23
0,5,-1,-7,0,0,17,-4.0,-46,-1,-4,0,0,17,4.0,-46,4.29,,,,,,-0.88,0.3
0,6,-2,-5,0,0,17,-5.0,-46,1,-6,0,0,17,4.0,-46,2.2,,,,,,-1.12,0.16
0,7,0,-6,0,0,17,-4.0,-46,-1,-4,0,0,17,4.0,-45,3.42,,,,,,-1.38,0.24
0,8,-2,-5,0,0,17,-5.0,-46,0,-4,0,0,17,5.0,-46,4.31,,,,,,-1.62,0.3
0,9,-2,-5,0,0,17,-4.0,-46,1,-10,0,0,16,5.0,-46,3.46,,,,,,-1.88,0.25
0,10,0,-5,0,0,17,-4.0,-46,-1,-5,0,0,17,4.0,-46,2.66,,,,,,-2.19,0.2
0,11,1,-4,0,0,17,-5.0,-46,-2,-3,0,0,17,4.0,-45,4.36,,,,,,-2.44,0.31
0,12,-1,-10,0,0,16,-6.0,-46,-1,-4,0,0,17,4.0,-45,3.62,,,,,,-2.69,0.24
0,13,-1,-5,0,0,17,-5.0,-47,0,-4,0,0,17,4.0,-46,3.5,,,,,,-2.97,0.26
0,14,0,-5,0,0,17,-5.0,-47,-1,-4,0,0,17,4.0,-46,4.1,,,,,,-3.25,0.35
0,15,-1,-8,0,0,17,-5.0,-47,0,-4,0,0,17,4.0,-46,4.03,,,,,,-3.53,0.34
