InfoCFO,InfoMeasurementCount,Initiatoro,Initiatorrr,InitiatorFLAGS,InitiatorGREF,InitiatorRXGAIN,InitiatorCFO,InitiatorRSSI,Reflectoro,Reflectorrr,ReflectorFLAGS,ReflectorGREF,ReflectorRXGAIN,ReflectorCFO,ReflectorRSSI,ResultDistance,ResultAoA,ResultDQF,ResultToF_Distance,ResultToF_SuccessRate,ResultInsideCircleOfTrust,ResultCFO,ResultLikeliness
0,0,-1,-4,0,0,18,-4.0,-48,-1,-6,0,0,17,4.0,-47,0.35,,,,,,0.0,0.29
0,1,-1,-3,0,0,18,-5.0,-48,-1,-5,0,0,17,4.0,-47,4.23,,,,,,-0.12,0.89
0,2,0,-4,0,0,18,-5.0,-48,-1,-5,0,0,18,4.0,-48,4.18,,,,,,-0.38,0.89
0,3,-2,-5,0,0,17,-4.0,-47,0,-5,0,0,17,4.0,-47,4.2,,,,,,-0.62,0.89
0,4,-1,-5,0,0,17,-5.0,-47,-1,-5,0,0,17,4.0,-46,4.19,,,,,,-0.88,0.9
0,5,0,-6,0,0,17,-5.0,-47,-1,-6,0,0,17,4.0,-46,4.17,,,,,,-1.12,0.9
0,6,-1,-8,0,0,17,-5.0,-47,-1,-6,0,0,17,5.0,-47,4.17,,,,,,-1.41,0.89
0,7,-1,-5,0,0,17,-5.0,-47,-1,-5,0,0,17,4.0,-46,4.17,,,,,,-1.72,0.9
0,8,-1,-5,0,0,17,-5.0,-46,0,-4,0,0,17,4.0,-46,4.22,,,,,,-2.03,0.91
0,9,0,-5,0,0,18,-5.0,-48,-1,-4,0,0,18,4.0,-47,4.21,,,,,,-2.34,0.88
0,10,-1,-3,0,0,18,-4.0,-48,-1,-4,0,0,18,4.0,-47,4.25,,,,,,-2.59,0.88
0,11,-2,-3,0,0,18,-4.0,-47,1,-7,0,0,17,3.0,-47,4.26,,,,,,-2.84,0.89
0,12,0,-4,0,0,18,-5.0,-47,0,-5,0,0,17,4.0,-47,4.25,,,,,,-3.09,0.89
0,13,-1,-5,0,0,18,-4.0,-48,-1,-3,0,0,18,4.0,-47,4.25,,,,,,-3.34,0.88
0,14,-2,-6,0,0,17,-4.0,-47,1,-7,0,0,17,4.0,-47,4.25,,,,,,-3.59,0.88
0,15,-1,-7,0,0,17,-5.0,-47,-1,-5,0,0,17,4.0,-46,4.25,,,,,,-3.84,0.9
