InfoCFO,InfoMeasurementCount,Initiatoro,Initiatorrr,InitiatorFLAGS,InitiatorGREF,InitiatorRXGAIN,InitiatorCFO,InitiatorRSSI,Reflectoro,Reflectorrr,ReflectorFLAGS,ReflectorGREF,ReflectorRXGAIN,ReflectorCFO,ReflectorRSSI,ResultDistance,ResultAoA,ResultDQF,ResultToF_Distance,ResultToF_SuccessRate,ResultInsideCircleOfTrust,ResultCFO,ResultLikeliness
0,0,0,-5,0,0,21,2.0,-57,-1,-5,0,0,21,-3.0,-56,5.52,,,,,,0.0,0.98
0,1,-1,-5,0,0,22,2.0,-59,0,-6,0,0,21,-4.0,-58,5.55,,,,,,0.06,0.98
0,2,-1,-7,0,0,20,2.0,-57,0,-4,0,0,21,-3.0,-57,5.52,,,,,,0.19,0.98
0,3,-1,-5,0,0,21,3.0,-56,0,-5,0,0,21,-2.0,-56,5.49,,,,,,0.38,0.97
0,4,-1,-7,0,0,21,3.0,-57,0,-8,0,0,22,-3.0,-60,5.54,,,,,,0.56,0.98
0,5,1,-4,0,0,21,2.0,-57,-2,-4,0,0,22,-3.0,-60,5.57,,,,,,0.75,0.98
0,6,-1,-5,0,0,21,2.0,-56,0,-5,0,0,21,-3.0,-56,5.47,,,,,,0.94,0.98
0,7,0,-4,0,0,22,3.0,-59,-2,-5,0,0,22,-3.0,-60,5.59,,,,,,1.12,0.98
0,8,-1,-4,0,0,21,3.0,-56,0,-3,0,0,21,-3.0,-57,5.41,,,,,,1.31,0.98
0,9,-1,-5,0,0,22,2.0,-59,-1,-4,0,0,21,-3.0,-58,5.55,,,,,,1.5,0.98
0,10,-2,-4,0,0,22,2.0,-60,0,-4,0,0,22,-4.0,-59,5.51,,,,,,1.69,0.97
0,11,-1,-4,0,0,22,2.0,-59,0,-6,0,0,21,-3.0,-58,5.48,,,,,,1.84,0.97
0,12,0,-2,0,0,22,2.0,-58,-1,-6,0,0,21,-3.0,-58,5.47,,,,,,2.0,0.97
0,13,0,-5,0,0,21,3.0,-58,-1,-4,0,0,21,-3.0,-58,5.51,,,,,,2.19,0.97
0,14,-1,-5,0,0,21,2.0,-56,1,-5,0,0,21,-3.0,-56,5.51,,,,,,2.38,0.97
0,15,-1,-7,0,0,21,2.0,-57,-1,-4,0,0,22,-3.0,-59,5.49,,,,,,2.56,0.97
