InfoCFO,InfoMeasurementCount,Initiatoro,Initiatorrr,InitiatorFLAGS,InitiatorGREF,InitiatorRXGAIN,InitiatorCFO,InitiatorRSSI,Reflectoro,Reflectorrr,ReflectorFLAGS,ReflectorGREF,ReflectorRXGAIN,ReflectorCFO,ReflectorRSSI,ResultDistance,ResultAoA,ResultDQF,ResultToF_Distance,ResultToF_SuccessRate,ResultInsideCircleOfTrust,ResultCFO,ResultLikeliness
0,0,0,-11,0,0,26,1.0,-80,-1,-12,0,0,26,-2.0,-80,4.85,,,,,,0.0,0.29
0,1,-1,-11,0,0,26,1.0,-79,0,-11,0,0,26,-2.0,-80,1.21,,,,,,0.03,0.1
0,2,-1,-10,0,0,26,1.0,-79,0,-12,0,0,26,-2.0,-79,5.43,,,,,,0.09,0.29
0,3,-20,-10,0,0,26,2.0,-78,19,-6,0,0,25,-2.0,-70,4.53,,,,,,0.22,0.32
0,4,-23,-11,0,0,26,2.0,-80,22,-11,0,0,26,-2.0,-79,16.6,,,,,,0.34,0.12
0,5,0,-12,0,0,26,1.0,-80,-1,-12,0,0,26,-2.0,-80,3.39,,,,,,0.47,0.16
0,6,0,-13,0,0,26,1.0,-79,-1,-13,0,0,26,-2.0,-80,0.35,,,,,,0.59,0.15
0,7,1,-10,0,0,26,1.0,-79,-2,-12,0,0,26,-2.0,-79,3.88,,,,,,0.69,0.26
0,8,-20,-7,0,0,26,1.0,-74,20,-5,0,0,25,-2.0,-70,19.39,,,,,,0.78,0.11
0,9,-2,-8,0,0,26,1.0,-77,1,-8,0,0,26,-2.0,-77,20.18,,,,,,0.88,0.5
0,10,0,-9,0,0,26,1.0,-78,-1,-9,0,0,26,-2.0,-78,17.23,,,,,,0.97,0.17
0,11,0,-10,0,0,26,1.0,-78,-1,-12,0,0,26,-1.0,-78,57.88,,,,,,1.06,0.06
0,12,-21,-8,0,0,26,1.0,-77,20,-9,0,0,26,-2.0,-76,7.28,,,,,,1.12,0.09
0,13,0,-7,0,0,26,1.0,-76,-1,-7,0,0,26,-2.0,-76,15.9,,,,,,1.19,0.24
0,14,-1,-7,0,0,26,1.0,-76,0,-7,0,0,26,-2.0,-76,7.63,,,,,,1.25,0.31
0,15,-2,-9,0,0,26,1.0,-78,1,-9,0,0,26,-2.0,-78,1.04,,,,,,1.34,0.15
