uniqueid,number,address,info
0x0000006037E9113F4D4416068008002D,1,0x006037E9113F,Broken header
0x0000006037DBE2204D4416068008001C,2,0x006037DBE220,NXP demo No. II
0x0000006037D548734D44160680080038,3,0x006037D54873,
0x0000006037BA0DE14D4416068008002E,4,0x006037BA0DE1,
0x0000006037C649C74D4416068008002D,5,0x006037C649C7,override sensitive (requires sw version 270+)
0x0000006037F08C334D4416068008002D,6,0x006037F08C33,Old Suitcase 3: Node
0x0000006037903A3D4D44160680080043,7,0x006037903A3D,Nicole Node
0x0000006037642C094D44160680080041,8,0x006037642C09,ULA car demo Host
0x0000006037313AF04D4416068008002C,11,0x006037313AF0,Old Suitcase 2: Host
0x0000006037FA88A34D4416068008002B,12,0x006037FA88A3,
0x000000603783A94C4D44160680080040,13,0x00603783A94C,
0x0000006037A77CFE4D44160680080034,14,0x006037A77CFE,
0x00000060374E30524D4416068008002C,15,0x0060374E3052,
0x00000060371D766B4D4416068008002C,16,0x0060371D766B,override sensitive (requires sw version 270+)
0x000000603780894E4D4416068008003F,17,0x00603780894E,
0x0000006037BE98074D4416068008003E,18,0x006037BE9807,
0x00000060370A17C74D4416068008003E,19,0x0060370A17C7,
0x0000006037974F794D4416068008001B,20,0x006037974F79,
0x0000006037F6F8B84D4416068008002D,21,0x006037F6F8B8,Broken antenna
0x00000060377702D44D4416068008002C,22,0x0060377702D4,Broken
0x0000006037DDDCB84D4416203006000A,23,0x006037DDDCB8,ULA car demo Node
0x0000006037FA7E674D4416203006000A,24,0x006037FA7E67,Old Suitcase 2: Node
0x0000006037AC185D4D44162030020037,25,0x006037AC185D,Broken antenna
0x00000060372B10FC4D4416203006000A,26,0x0060372B10FC,
0x0000006037D600034D4416203006001E,27,0x006037D60003,Old Suitcase 3: Host
0x0000006037E99E004D4416068008002C,28,0x006037E99E00,Old Suitcase 1: Node
0x0000006037311AD64D4416068008003F,29,0x006037311AD6,Old Suitcase 1: Host
0x00000060379511B54D44162030060006,30,0x0060379511B5,override sensitive (requires sw version 270+);-20cm distance offset
0x00000060375F3CC54D4416203006001A,31,0x0060375F3CC5,NXP demo No. IV
0x0000006037A1E7294D44162030060006,32,0x006037A1E729,NXP demo No. V
0x000000603779D0D34D44162030060016,33,0x00603779D0D3,Bootloader messed-up
0x000000603729455F4D44162030060018,34,0x00603729455F,New Suitcase 1: Node
0x00000060372989854D44162030060018,35,0x006037298985,Lenore (shield; switch)
0x00000060373774034D44162030060019,36,0x006037377403,Lenore (shield; switch)
0x0000006037E11DEF4D4416203006001A,37,0x006037E11DEF,override sensitive (requires sw version 270+)
0x0000006037DC0B2E4D44162030060019,38,0x006037DC0B2E,Lenore (shield; switch)
0x00000060377081CC4D44162030060014,39,0x0060377081CC,Lenore (shield; switch)
0x00000060379B85F04D44162030060007,40,0x0060379B85F0,override sensitive (requires sw version 270+);+15cm distance offset
0x0000006037CFAE264D44162030060014,41,0x006037CFAE26,NXP demo No. VI
0x00000060379186544D44160680080036,42,0x006037918654,NXP demo No. I
0x00000060378DFCC84D44162030020038,43,0x0060378DFCC8,override sensitive (requires sw version 270+)
0x000000603747B7D34D44160680080037,44,0x00603747B7D3,NXP demo No. III
0x0000006037D707A44D4416203006000A,45,0x006037D707A4,
0x00000060370ABEC64D4416203006000B,46,0x0060370ABEC6,Nicole Node (shield)
0x0000006037CD60CF4D4416203006000B,47,0x006037CD60CF,New Suitcase 1: Host
0x0000006037944FCA4D44160680080011,48,0x006037944FCA,New Suitcase 2: Host
0x0000006037DE3B7B4D4416068008002E,49,0x006037DE3B7B,New Suitcase 2: Node
0x0000006037F6F20B4D44162030060007,50,0x006037F6F20B,Lenore (shield; switch)
0x0000006037917A554D44162030060017,51,0x006037917A55,Lenore (shield; switch)
0x000000603770D2C54D4416203006000B,52,0x00603770D2C5,Lenore (shield; switch)
0x00000060372D14464D4416203006000C,53,0x0060372D1446,
0x00000060376455F64D4416203006001F,54,0x0060376455F6,
0x000000603741D2D74D44162030060016,55,0x00603741D2D7,
0x0000006037F802374D44162030060014,56,0x006037F80237,

